LOCATION,Switch Name,IP Address,MODEL,INV NUMBER,Default Vlan,Special Ports
,,,,,,
BUNGALOWS,,,,,,
B-5,LAKE-C3560X-48P-Bung-5-1,10.66.128.201,C3560,,Vlan41,
B-5,LAKE-C3560X-48P-Bung-5-2,10.66.128.202,C3560,,Vlan41,
,,,,,,
B-9,LAKE-C3560X-48P-Bung-9-1,10.66.128.200,C3560,,Vlan41,
B-9,LAKE-C3560X-48P-CST,10.66.128.246,C3560,,Vlan41,RLOGIN
,,,,,,
B-14,LAKE-C3560X-48P-BU14-1,10.66.128.186,C3560,,Vlan40,RLOGIN
,,,,,,
B-15,LAKE-C3560X-48P-Bung-15-1,10.66.128.206,C3560,,Vlan40,
B-15,LAKE-C3560X-48P-Bung-14-1 (B15-2),10.66.128.207,C3560,,Vlan40,Misnamed location
,,,,,,
B-19,LAKE-C3560X-48P-Bung-19-1,10.66.128.203,C3560,,Vlan40,
B-19,LAKE-C3560X-48P-Bung-19-2,10.66.128.205,C3560,,Vlan40,
,,,,,,
B-21,LAKE-3560X-48P-BUNG-21-1,10.66.128.31,C3560,,Vlan40,
,,,,,,
B-93,LAKE-C3560X-48P-837-1,10.66.128.248,C3560,,Vlan41,RLOGIN
B-93,,10.66.128.226,C3560,,Vlan1,SPARE
,,,,,,
B-96,LAKE-C3560X-48P-Bung-96-2,10.66.128.198,C3560,,Vlan41,
B-96,LAKE-C3560X-48P-Bung-96-1,10.66.128.199,C3560,,Vlan41,g0/42=93.1
,,,,,,
1000 Building (was 100),,,,,,
VAULT,MDF,,CORE SWITCH - C6840-X,517318,,
VAULT,LAKE-C3850STK-MDF,10.66.128.175,C3850,,Vlan36,
VAULT,LAKE-C3560X-48P-100-Office-1,10.66.128.196,C3560,,Vlan36,
VAULT,LAKE-C3560X-48P-100-Office-2,10.66.128.195,C3560,,Vlan36,
VAULT,LAKE-C3560X-48P-100-Office-3,10.66.128.169,C3560,,Vlan36,
VAULT,LAKE-C3560X-48P-1000-Office-4,10.66.128.30,C3560,,Vlan36,
,,,,,,
LIBRARY,LAKE-C3560X-48P-Library-workrm-4,10.66.128.189,C3560,,Vlan36,G0/41 is BAD
LIBRARY,LAKE-C3560X-48P-Library-workrm-flr-3,10.66.128.190,C3560,,Vlan36,
LIBRARY,LAKE-C3850X-48P-Library-workrm-1,10.66.128.191,C3850,,Vlan36,
LIBRARY,LAKE-C3560X-48P-Library-workrm-2,10.66.128.192,C3560,,Vlan36,
,,,,,,
2000 Building (was 200),,,,,,
2K-(First Floor),LAKE-C3560X-48P-2114-1,10.66.128.252,C3560,,Vlan33,
2K-(First Floor),LAKE-C3560X-48P-2114-2,10.66.128.253,C3560,,Vlan33,
2K-(First Floor),LAKE-C3560X-48P-309-1,10.66.128.247,C3560,,Vlan33,
2K-(First Floor),,?,C3850,,Vlan33,
,,,,,,
2K-(Second Floor),LAKE-C3850-48P-232-3,10.66.128.249,C3850,,Vlan33,
2K-(Second Floor),LAKE-C3560X-48P-232-2,10.66.128.250,C3560,,Vlan33,
2K-(Second Floor),LAKE-C3560X-48P-232-1,10.66.128.251,C3560,,Vlan33,
2K-(Second Floor),,?,C3850,,Vlan33,
,,,,,,
3000 Building (was Cafe),,,,,,
3K-(Cafeteria),LAKE-C3560X-48P-Cafe-1,10.66.128.197,C3560,,Vlan 37,
,,,,,,
4000 Building (was 700),,,,,,
4001,LAKE-C9300-48UXM-RM4004,10.66.128.166,C9300,,Vlan35,
4001,LAKE-C3850-48P-701-3,10.66.128.225,C3850,,Vlan35,
4001,LAKE-C3560X-48P-4001-2,10.66.128.208,C3560,,Vlan35,
4001,LAKE-C3560X-48P-701-1,10.66.128.227,C3560,,Vlan35,
,,,,,,
4004,LAKE-C3560X-48P-711-3,10.66.128.173,C3560,,Vlan35,
,,,,,,
4005,LAKE-C3560X-48P-711-2,10.66.128.222,C3560,,VLan35,
4005,LAKE-C3560X-48P-711-1,10.66.128.223,C3560,,VLan35,
4005,LAKE-C3560X-48P-707-2,10.66.128.204,C3560,,VLan35,
4005,LAKE-C3560X-48P-707-1,10.66.128.224,C3560,,VLan35,
,,,,,,
4007,LAKE-C3850-48P-717-3,10.66.128.219,C3850,,Vlan35,
4007,LAKE-C3560X-48P-717-2,10.66.128.220,C3560,,Vlan35,
4007,LAKE-C3560X-48P-717-1,10.66.128.221,C3560,,Vlan35,
,,,,,,
5000 Building (was 600),,,,,,
603,LAKE-C3560X-48P-603-1,10.66.128.229,C3560,,Vlan 42,
655,LAKE-C3560X-48P-655-1,10.66.128.228,C3560,,Vlan 42,
,,,,,,
6000 Building (was 900),,,,,,
6K-(6207),LAKE-C3850-48P-914-4,10.66.128.188,C3850,,Vlan 37,
6K-(6207),LAKE-C3560X-48P-914-2,10.66.128.209,C3560,,Vlan 37,
6K-(6207),LAKE-C3560X-48P-914-1,10.66.128.210,C3560,,Vlan 37,
6K-(6207),,?,C3850,,Vlan 37,
,,,,,,
7000 Building (was 800),,,,,,
7K-(7103 PREP),LAKE-C3560X-48P-813-1,10.66.128.217,C3560,,Vlan38,
7K-(7103 PREP),LAKE-C3560X-48P-813-2,10.66.128.216,C3560,,Vlan38,
,,,,,,
7K-(7205 PREP),LAKE-C3560X-48P-825-1,10.66.128.214,C3560,,Vlan38,
7K-(7205 PREP),LAKE-C3560X-48P-824-1,10.66.128.215,C3560,,Vlan38,
7K-(7201-PREP),LAKE-C3560G-48-821-1,10.66.128.176,C3560,TELNET,Vlan38,RLOGIN
7K-(7203-PREP),LAKE-C3560G-48P-821-2,10.66.128.177,C3560,TELNET,Vlan38,RLOGIN
,,,,,,
7K-(7304),LAKE-C3560X-48P-834-2,10.66.128.212,C3560,,Vlan38,
7K-(7304),LAKE-C3560X-48P-834-1,10.66.128.213,C3560,,Vlan38,
,,,,,,
7K-(7307),LAKE-C3560X-48P-837-1,10.66.128.218,C3560,,Vlan38,
,,,,,,
7K-(7404),LAKE-C3560X-48P-844-1,10.66.128.211,C3560,,Vlan38,
7K-(7404),LAKE-C3850-48P-RM7404,10.66.128.164,C3850,,Vlan38,
,,,,,,
7K-(7407),LAKE-C3560X-48P-847-1,10.66.128.187,C3560,,Vlan38,
,,,,,,
,,,,,,
8000 Building (was 400),,,,,,
8K-(Teacher Lounge),LAKE-C3560X-48P-400-StaffLnge-1,10.66.128.194,C3560,,Vlan39,
8K-(Teacher Lounge),LAKE-C3560X-48P-400-StaffLnge-2,10.66.128.193,C3560,,Vlan39,
8K-(Teacher Lounge),LAKE-C9300-48UXM-RM8112,10.66.128.168,C9300 ,,Vlan39,
,,,,,,
8210-(410),LAKE-C3560X-48P-410-1,10.66.128.232,C3560,,Vlan39,
8210-(410),LAKE-C3560X-48P-410-2,10.66.128.231,C3560,,Vlan39,
8210-(410),LAKE-C9300-48UXM-RM8210,10.66.128.167,C9300,,Vlan39,
,,,,,,
9000 Building (was 500),,,,,,
9K-(9122),LAKE-C3560X-48P-501-1,10.66.128.230,C3560,,Vlan39,
9K-Projection Booth,LAKE-C9300-48UXM-ProjectorRM,10.66.128.165,C9300,,Vlan39,
,,,,,,
10K Building (was 300),,,,,,
10K-(10102),LAKE-C3560X-48P-10102-2,10.66.128.179,C3560,,Vlan34,
10K-(10102),LAKE-C3560X-48P-10102-1,10.66.128.180,C3560,,Vlan34,
,,,,,,
10K-(10107):South-Upper,LAKE-C3850-48P-317-3,10.66.128.243,C3850,,Vlan34,
10K-(10107):South-Upper,LAKE-C3560X-48P-317-2,10.66.128.244,C3560,,Vlan34,
10K-(10107):South-Upper,LAKE-C3560X-48P-317-1,10.66.128.245,C3560,,Vlan34,
10K-(10107):South-Upper,LAKE-C3560X-48P-317-5,10.66.128.241,C3560,,Vlan34,
10K-(10107):South-Lower,LAKE-C3560X-48P-317-7,10.66.128.239,,,Vlan34,
10K-(10107):South-Lower,LAKE-C3560X-48P-317-6,10.66.128.240,C3560,,Vlan34,
10K-(10107):North,LAKE-C3560X-48P-317-4,10.66.128.242,C3560,,Vlan34,
,,,,,,
10K-(10204),LAKE-C9300-48UXM-Bldg-300,10.66.128.170,C9300,,Vlan34,
10K-(10204),LAKE-C3560X-48P-320-1,10.66.128.238,C3560,,Vlan34,
10K-(10204),LAKE-C3560X-48P-320-2,10.66.128.237,C3560,,Vlan34,
10K-(10204),LAKE-C3560X-48P-320-3,10.66.128.235,C3560,,Vlan34,
10K-(10204),LAKE-C3850-48P-320-4,10.66.128.236,C3850,,Vlan34,
,,,,,,
10K-(10207),LAKE-C3850-48P-RM332-2,10.66.128.174,C3850,,Vlan34,
10K-(10207),LAKE-C3560X-48P-332-1,10.66.128.234,C3560,,Vlan34,